Customer_ID,Region,Age,Account_Type,Credit_Score,Annual_Income,Total_Loan_Amount,Overdue_Amount,Last_Payment_Date,Default_Flag,Customer_Since,Profit_Contribution,Churn_Risk,Income_Group,Loan_Category,Overdue_Flag,Tenure_Years,Age_Group,Churn_Score
C0021,North,38,Loan,695.1,693058.0,162349.0,,2025-01-26,No,2024-02-15,26138.37,Low,Others,Small,No,1.4,Middle Aged,1
C0022,South,29,,641.2,854628.0,189863.0,0.0,,No,2016-09-24,31072.13,Medium,Others,Small,No,8.8,Young,2
C0023,South,46,Savings,789.5,501893.0,207528.0,0.0,2025-01-26,No,2019-05-21,33652.84,Medium,Others,Medium,No,6.2,Middle Aged,2
C0024,South,49,Credit,680.5,626892.0,298682.0,0.0,2025-03-08,No,2018-02-02,10217.01,Unknown,Others,Medium,No,7.5,Middle Aged,0
C0025,North,31,Loan,757.5,543349.0,225845.0,15000.0,2025-04-29,Yes,2019-05-03,17146.04,Low,Others,Medium,Yes,6.2,Middle Aged,1
C0026,East,46,Credit,732.2,805290.0,352291.0,0.0,2025-06-27,No,2023-06-27,40313.3,High,Others,Medium,No,2.1,Middle Aged,3
C0027,North,43,,719.1,452610.0,150966.0,0.0,2025-05-14,No,2017-11-18,24941.13,Medium,Others,Small,No,7.7,Middle Aged,2
C0028,South,52,Credit,691.3,869480.0,263112.0,0.0,2025-03-22,No,2017-03-21,10265.16,Low,Others,Medium,No,8.4,Senior,1
C0029,West,28,Credit,712.8,505064.0,309031.0,0.0,2025-07-03,No,2018-10-02,26159.82,Medium,Others,Medium,No,6.8,Young,2
C0030,East,53,,701.2,888107.0,184927.0,0.0,2025-04-10,No,2021-06-28,21166.89,Low,Others,Small,No,4.1,Senior,1
C0031,West,31,Savings,639.2,684580.0,275586.0,10000.0,2025-02-08,Yes,2023-10-29,29675.06,Low,Others,Medium,Yes,1.7,Middle Aged,1
C0032,South,45,Credit,816.7,718753.0,144520.0,0.0,,No,2020-09-21,19723.76,Low,Others,Small,No,4.8,Middle Aged,1
C0033,North,29,Savings,704.1,655307.0,303550.0,0.0,2025-03-11,Yes,2015-12-15,19006.94,Low,Others,Medium,No,9.6,Young,1
C0034,West,47,Credit,657.4,855410.0,328418.0,0.0,2025-02-05,No,2020-10-22,17262.87,High,Others,Medium,No,4.8,Middle Aged,3
C0035,West,42,Credit,617.7,734636.0,278899.0,0.0,2025-02-24,No,2023-01-10,21847.63,Low,Others,Medium,No,2.5,Middle Aged,1
C0036,North,32,,732.9,710272.0,315434.0,0.0,2025-07-08,No,2015-08-14,28529.59,High,Others,Medium,No,10.0,Middle Aged,3
C0037,North,26,Savings,633.1,803007.0,288534.0,10000.0,2025-07-15,No,2018-10-30,20191.45,High,Others,Medium,Yes,6.7,Young,3
C0038,North,49,Credit,751.9,701461.0,349816.0,0.0,2025-06-11,No,2023-06-27,27905.62,Low,Others,Medium,No,2.1,Middle Aged,1
C0039,South,37,Loan,717.9,545435.0,232239.0,0.0,2025-02-09,No,2017-10-10,19682.91,Low,Others,Medium,No,7.8,Middle Aged,1
C0040,North,35,Savings,590.6,771461.0,218910.0,0.0,2025-03-09,No,2018-11-08,20641.59,Low,Others,Medium,No,6.7,Middle Aged,1
C0041,North,35,Credit,734.4,712856.0,169169.0,0.0,2025-06-24,No,2024-03-20,24396.61,Low,Others,Small,No,1.4,Middle Aged,1
C0042,West,27,Savings,799.5,1068683.0,352258.0,25000.0,2025-03-10,Yes,2018-08-28,26630.13,Low,High Income,Medium,Yes,6.9,Young,1
C0043,West,20,Loan,689.3,567643.0,313933.0,0.0,2025-01-29,No,2019-03-01,13825.45,Unknown,Others,Medium,No,6.4,Young,0
C0044,West,57,Credit,663.3,636431.0,273833.0,0.0,2025-04-19,No,2018-09-30,7102.18,Low,Others,Medium,No,6.8,Senior,1
C0045,North,27,Loan,725.9,1124431.0,327435.0,0.0,2025-04-11,No,2021-09-29,14154.07,Medium,High Income,Medium,No,3.8,Young,2
C0046,South,27,Savings,668.1,1074401.0,248542.0,0.0,2025-04-12,Yes,2017-06-23,12539.27,Low,High Income,Medium,No,8.1,Young,1
C0047,North,37,Credit,617.6,1026482.0,142739.0,0.0,2025-06-07,No,2018-01-22,18972.7,Medium,High Income,Small,No,7.5,Middle Aged,2
C0048,North,35,Savings,682.9,1169599.0,280373.0,0.0,2025-07-08,No,2019-02-02,27277.91,Medium,High Income,Medium,No,6.5,Middle Aged,2
C0049,East,42,Credit,650.0,713960.0,221101.0,15000.0,2025-07-19,No,2018-02-26,4820.98,Low,Others,Medium,Yes,7.4,Middle Aged,1
C0050,South,53,Loan,649.2,1122264.0,301514.0,0.0,2025-05-02,No,2022-09-09,20567.78,High,High Income,Medium,No,2.9,Senior,3
C0051,North,43,,648.9,658376.0,213025.0,10000.0,2025-03-04,No,2018-11-05,15022.1,Low,Others,Medium,Yes,6.7,Middle Aged,1
C0052,South,36,Loan,727.6,990510.0,277151.0,10000.0,2025-02-09,No,2016-06-08,24650.51,Low,Others,Medium,Yes,9.1,Middle Aged,1
C0053,South,32,Loan,652.0,849459.0,295778.0,,2025-06-18,No,2019-01-23,5698.63,Medium,Others,Medium,No,6.5,Middle Aged,2
C0054,East,28,Savings,646.5,932387.0,366464.0,0.0,2025-04-16,No,2017-12-01,16483.86,High,Others,Medium,No,7.7,Young,3
C0055,North,53,Credit,681.1,836391.0,226730.0,0.0,2025-06-23,No,2019-06-30,17831.68,Medium,Others,Medium,No,6.1,Senior,2
C0056,South,34,Loan,775.6,913045.0,115597.0,0.0,2025-02-10,No,2018-01-02,16425.81,Low,Others,Small,No,7.6,Middle Aged,1
C0057,East,52,,719.6,824824.0,297126.0,0.0,2025-02-14,No,2017-06-10,14406.83,Low,Others,Medium,No,8.1,Senior,1
C0058,West,40,Loan,575.5,1054086.0,226818.0,0.0,,No,2018-03-08,26430.5,Low,High Income,Medium,No,7.4,Middle Aged,1
C0059,East,44,Credit,651.8,535556.0,268277.0,0.0,2025-04-03,No,2018-11-05,16533.57,Low,Others,Medium,No,6.7,Middle Aged,1
C0060,North,42,Savings,708.0,874508.0,336577.0,15000.0,2025-03-03,No,2018-07-24,16180.95,High,Others,Medium,Yes,7.0,Middle Aged,3
C0061,North,33,Loan,669.3,762182.0,360652.0,0.0,2025-07-05,Yes,2017-12-21,17581.41,Low,Others,Medium,No,7.6,Middle Aged,1
C0062,East,40,Loan,645.9,690361.0,345335.0,0.0,2025-02-21,No,2020-03-09,26166.9,High,Others,Medium,No,5.4,Middle Aged,3
C0063,East,39,Credit,700.1,838029.0,219908.0,0.0,2025-02-15,No,2022-09-23,20557.22,Low,Others,Medium,No,2.8,Middle Aged,1
C0064,West,50,Credit,703.7,710870.0,420682.0,0.0,2025-05-29,No,2020-01-06,23249.81,Low,Others,Large,No,5.6,Middle Aged,1
C0065,South,62,,641.6,874464.0,263751.0,0.0,,No,2020-04-13,19112.54,Low,Others,Medium,No,5.3,Senior,1
C0066,West,50,Credit,607.4,856801.0,238171.0,0.0,2025-03-11,No,2020-08-28,9159.54,Low,Others,Medium,No,4.9,Middle Aged,1
C0067,North,32,,687.5,768351.0,390713.0,0.0,2025-06-21,No,2021-11-26,24570.78,Low,Others,Medium,No,3.7,Middle Aged,1
C0068,East,50,Credit,717.1,995332.0,302518.0,10000.0,2025-03-22,No,2023-04-06,18941.6,Low,Others,Medium,Yes,2.3,Middle Aged,1
C0069,East,52,Savings,656.5,357373.0,351540.0,25000.0,2025-01-26,No,2016-06-24,22205.08,Medium,Others,Medium,Yes,9.1,Senior,2
C0070,West,43,Loan,557.4,519741.0,241853.0,10000.0,2025-05-18,Yes,2017-06-24,19556.12,Unknown,Others,Medium,Yes,8.1,Middle Aged,0
C0071,South,40,Loan,682.3,609987.0,296714.0,0.0,,No,2020-06-25,9051.28,Low,Others,Medium,No,5.1,Middle Aged,1
C0072,East,45,,733.0,1008274.0,187908.0,0.0,2025-05-22,No,2017-05-19,17569.08,Low,High Income,Small,No,8.2,Middle Aged,1
C0073,South,56,Loan,685.8,935859.0,255064.0,0.0,,No,2018-05-28,28212.64,Medium,Others,Medium,No,7.2,Senior,2
C0074,South,42,Loan,629.0,646181.0,361678.0,0.0,2025-03-21,No,2023-07-06,27022.6,High,Others,Medium,No,2.1,Middle Aged,3
C0075,East,51,Savings,592.1,463348.0,97058.0,15000.0,2025-06-19,No,2019-09-23,21601.08,Low,Others,Small,Yes,5.8,Senior,1
C0076,West,18,Loan,655.7,966889.0,323616.0,15000.0,2025-01-27,No,2024-06-19,22645.6,Low,Others,Medium,Yes,1.1,Young,1
C0077,West,23,,677.2,776813.0,247548.0,0.0,2025-07-11,No,2022-03-17,28981.42,Medium,Others,Medium,No,3.4,Young,2
C0078,East,26,,673.9,684939.0,167406.0,0.0,2025-07-12,Yes,2019-05-20,23901.39,Low,Others,Small,No,6.2,Young,1
C0079,West,39,Loan,727.8,502855.0,287803.0,0.0,2025-04-26,No,2021-12-09,13476.01,Low,Others,Medium,No,3.6,Middle Aged,1
C0080,West,34,Credit,608.3,661693.0,254311.0,0.0,2025-01-29,No,2024-02-16,1737.58,Medium,Others,Medium,No,1.4,Middle Aged,2
C0081,East,33,Savings,690.7,677534.0,233427.0,10000.0,2025-04-14,No,2023-05-11,14108.7,Medium,Others,Medium,Yes,2.2,Middle Aged,2
C0082,South,46,Credit,652.6,454389.0,428061.0,0.0,2025-05-03,Yes,2022-05-14,17514.21,Unknown,Others,Large,No,3.2,Middle Aged,0
C0083,North,56,,667.5,815311.0,273344.0,0.0,2025-02-26,No,2019-12-10,12221.85,Low,Others,Medium,No,5.6,Senior,1
C0084,West,41,,756.2,208651.0,189212.0,0.0,2025-02-10,Yes,2017-04-26,12763.66,Medium,Others,Small,No,8.3,Middle Aged,2
C0085,North,34,,625.9,1037428.0,316123.0,0.0,2025-02-19,No,2017-07-30,13008.21,Medium,High Income,Medium,No,8.0,Middle Aged,2
C0086,West,40,Savings,798.7,902907.0,216962.0,0.0,2025-01-30,No,2016-06-17,32656.31,Low,Others,Medium,No,9.1,Middle Aged,1
C0087,South,31,,610.9,885236.0,393206.0,0.0,2025-02-02,No,2023-03-30,20221.53,Medium,Others,Medium,No,2.3,Middle Aged,2
C0088,West,41,,661.9,652301.0,215642.0,0.0,2025-06-14,No,2016-02-12,14992.06,High,Others,Medium,No,9.5,Middle Aged,3
C0089,West,34,,636.8,709704.0,187679.0,0.0,2025-02-03,No,2018-11-21,23122.03,Medium,Others,Small,No,6.7,Middle Aged,2
C0090,West,39,Credit,691.9,754715.0,195700.0,0.0,2025-02-03,Yes,2018-08-16,15739.36,Low,Others,Small,No,6.9,Middle Aged,1
C0091,East,41,Loan,717.6,366119.0,290752.0,0.0,2025-06-02,No,2023-10-21,15483.54,Low,Others,Medium,No,1.8,Middle Aged,1
C0092,South,30,,694.0,151809.0,215604.0,0.0,2025-07-05,No,2020-12-30,17546.27,Low,Others,Medium,No,4.6,Middle Aged,1
C0093,West,46,Loan,596.9,686784.0,159174.0,0.0,2025-06-14,No,2020-05-02,18811.59,Low,Others,Small,No,5.2,Middle Aged,1
C0094,West,36,,649.9,852050.0,332975.0,0.0,2025-02-23,No,2019-09-16,26173.11,Medium,Others,Medium,No,5.9,Middle Aged,2
C0095,West,15,,640.2,815414.0,234772.0,10000.0,,No,2021-09-15,21357.83,Medium,Others,Medium,Yes,3.9,Young,2
C0096,West,41,Credit,704.4,1016027.0,241011.0,0.0,2025-03-03,No,2017-12-19,20909.84,Low,High Income,Medium,No,7.6,Middle Aged,1
C0097,West,35,Loan,658.4,778890.0,218426.0,0.0,2025-02-17,No,2022-03-01,2335.15,Medium,Others,Medium,No,3.4,Middle Aged,2
C0098,West,44,Credit,666.5,889523.0,231241.0,0.0,2025-02-22,No,2019-11-22,30408.42,High,Others,Medium,No,5.7,Middle Aged,3
C0099,North,21,Savings,662.4,703684.0,375733.0,0.0,2025-03-18,Yes,2024-03-14,18086.57,Low,Others,Medium,No,1.4,Young,1
C0100,North,48,Loan,724.6,719124.0,183639.0,15000.0,2025-02-04,No,2022-10-10,22295.53,Low,Others,Small,Yes,2.8,Middle Aged,1
C0101,West,25,Loan,737.2,767699.0,218853.0,0.0,2025-02-03,No,2021-07-18,27727.38,Low,Others,Medium,No,4.0,Young,1
C0102,North,41,,655.6,780764.0,168146.0,0.0,,No,2021-07-01,13463.99,Unknown,Others,Small,No,4.1,Middle Aged,0
C0103,East,41,Credit,656.1,795796.0,275025.0,0.0,2025-06-29,No,2017-06-30,30295.8,Medium,Others,Medium,No,8.1,Middle Aged,2
C0104,North,36,Credit,658.6,589471.0,322289.0,0.0,2025-05-19,Yes,2020-06-22,27788.46,Low,Others,Medium,No,5.1,Middle Aged,1
C0105,South,44,,773.8,545242.0,156651.0,0.0,2025-03-30,No,2022-04-02,21364.75,Low,Others,Small,No,3.3,Middle Aged,1
C0106,East,48,Loan,635.5,235056.0,263540.0,0.0,2025-02-13,No,2020-10-02,41148.57,Medium,Others,Medium,No,4.8,Middle Aged,2
C0107,North,41,Credit,716.3,796202.0,266791.0,0.0,2025-03-08,Yes,2018-03-04,22001.95,Low,Others,Medium,No,7.4,Middle Aged,1
C0108,East,29,,612.9,1077366.0,263791.0,15000.0,2025-05-05,No,2019-11-03,20800.76,Low,High Income,Medium,Yes,5.7,Young,1
C0109,South,30,Savings,673.7,711145.0,332064.0,0.0,2025-07-17,No,2023-02-15,15295.31,Medium,Others,Medium,No,2.4,Middle Aged,2
C0110,North,39,Savings,733.5,583440.0,313918.0,15000.0,2025-05-31,No,2019-07-28,1434.1,Low,Others,Medium,Yes,6.0,Middle Aged,1
C0111,East,27,Savings,615.2,632843.0,375177.0,0.0,2025-02-03,No,2017-06-12,10996.65,Low,Others,Medium,No,8.1,Young,1
C0112,East,39,,679.7,436171.0,310333.0,0.0,2025-04-11,No,2022-10-25,18742.29,Medium,Others,Medium,No,2.8,Middle Aged,2
C0113,East,58,,736.3,646222.0,167011.0,0.0,2025-07-02,No,2020-10-03,20005.59,Medium,Others,Small,No,4.8,Senior,2
C0114,East,42,Credit,646.1,729857.0,191309.0,10000.0,2025-06-16,Yes,2020-01-06,25394.24,High,Others,Small,Yes,5.6,Middle Aged,3
C0115,South,34,,652.7,693449.0,209243.0,0.0,2025-06-23,No,2019-12-27,31108.66,Low,Others,Medium,No,5.6,Middle Aged,1
C0116,West,13,Loan,576.1,451872.0,161685.0,0.0,2025-07-03,No,2022-03-27,21629.61,Medium,Others,Small,No,3.3,Young,2
C0117,East,26,Loan,641.1,477885.0,381420.0,0.0,2025-02-16,No,2020-01-25,23882.53,Low,Others,Medium,No,5.5,Young,1
C0118,North,32,Credit,675.5,705997.0,197165.0,0.0,2025-07-24,No,2016-08-12,14173.48,Low,Others,Small,No,9.0,Middle Aged,1
C0119,South,35,,704.5,455574.0,303475.0,0.0,2025-07-06,No,2022-02-28,26510.91,Medium,Others,Medium,No,3.4,Middle Aged,2
C0120,North,31,Loan,691.7,750551.0,373480.0,0.0,2025-07-10,No,2015-10-31,11943.29,Low,Others,Medium,No,9.7,Middle Aged,1
C0121,East,46,,664.5,765227.0,156166.0,0.0,2025-03-21,No,2024-05-05,10067.99,Unknown,Others,Small,No,1.2,Middle Aged,0
C0122,East,32,Loan,745.8,349379.0,306726.0,0.0,2025-03-26,No,2017-06-10,8695.81,Low,Others,Medium,No,8.1,Middle Aged,1
C0123,North,19,Credit,764.8,742203.0,242747.0,0.0,2025-07-23,No,2016-04-10,27774.58,Unknown,Others,Medium,No,9.3,Young,0
C0124,South,40,Credit,663.2,969209.0,411643.0,0.0,2025-02-07,No,2022-04-01,25378.06,Medium,Others,Large,No,3.3,Middle Aged,2
C0125,East,42,Savings,670.8,703687.0,276069.0,0.0,2025-04-16,No,2023-11-18,6963.26,Low,Others,Medium,No,1.7,Middle Aged,1
C0126,East,46,Savings,780.3,843518.0,214814.0,0.0,2025-06-20,Yes,2019-02-22,24215.5,Low,Others,Medium,No,6.4,Middle Aged,1
C0127,North,43,Loan,729.1,1033095.0,326078.0,0.0,2025-04-02,Yes,2021-03-06,18735.19,High,High Income,Medium,No,4.4,Middle Aged,3
C0128,West,48,Savings,699.2,226056.0,223899.0,0.0,2025-03-03,No,2015-07-30,21588.47,Low,Others,Medium,No,10.0,Middle Aged,1
C0129,West,34,Loan,609.7,515353.0,148624.0,0.0,2025-03-30,Yes,2023-03-03,24591.74,High,Others,Small,No,2.4,Middle Aged,3
C0130,West,22,Savings,784.1,639089.0,257149.0,0.0,2025-02-07,No,2017-01-04,21432.29,Low,Others,Medium,No,8.6,Young,1
C0131,North,34,Credit,686.1,1212017.0,242796.0,0.0,2025-05-04,No,2022-08-15,17182.62,Low,High Income,Medium,No,2.9,Middle Aged,1
C0132,South,42,Savings,689.0,633030.0,398127.0,0.0,2025-04-06,No,2018-06-12,19621.88,Medium,Others,Medium,No,7.1,Middle Aged,2
C0133,South,47,,651.9,826482.0,322942.0,0.0,2025-03-21,No,2024-05-29,5897.06,High,Others,Medium,No,1.2,Middle Aged,3
C0134,West,51,Loan,614.0,654751.0,329843.0,0.0,2025-01-28,Yes,2021-12-10,20956.85,Unknown,Others,Medium,No,3.6,Senior,0
C0135,North,46,Credit,734.0,866784.0,284439.0,0.0,2025-06-20,No,2017-03-12,7787.59,Low,Others,Medium,No,8.4,Middle Aged,1
C0136,South,39,Credit,720.9,726770.0,283498.0,25000.0,2025-03-25,No,2018-05-02,18293.82,Low,Others,Medium,Yes,7.2,Middle Aged,1
C0137,West,40,Loan,714.1,705664.0,252232.0,0.0,,No,2023-02-11,8758.72,Low,Others,Medium,No,2.5,Middle Aged,1
C0138,West,45,Savings,627.9,955585.0,230423.0,0.0,2025-05-09,No,2022-03-29,21079.88,Medium,Others,Medium,No,3.3,Middle Aged,2
C0139,South,54,,689.8,906369.0,138583.0,10000.0,2025-06-23,No,2018-05-11,9204.29,Low,Others,Small,Yes,7.2,Senior,1
C0140,East,46,Credit,715.7,709403.0,341738.0,0.0,2025-07-10,No,2017-04-15,14532.55,Low,Others,Medium,No,8.3,Middle Aged,1
C0141,East,63,,661.9,610899.0,359004.0,0.0,2025-03-02,No,2020-03-19,13018.95,Medium,Others,Medium,No,5.4,Senior,2
C0142,East,48,,665.0,539043.0,174541.0,0.0,2025-06-09,No,2019-12-16,11592.7,High,Others,Small,No,5.6,Middle Aged,3
C0143,East,40,Loan,691.7,1010100.0,175123.0,0.0,,No,2017-10-26,18674.22,Medium,High Income,Small,No,7.8,Middle Aged,2
C0144,North,32,Loan,795.5,567221.0,337533.0,0.0,2025-07-16,No,2015-12-14,32968.87,Low,Others,Medium,No,9.6,Middle Aged,1
C0145,West,34,Loan,653.5,575372.0,208339.0,0.0,2025-04-28,No,2016-04-12,16032.25,Medium,Others,Medium,No,9.3,Middle Aged,2
C0146,West,38,Savings,661.3,465286.0,309693.0,0.0,2025-05-28,No,2024-05-17,28388.25,Low,Others,Medium,No,1.2,Middle Aged,1
C0147,North,34,Credit,711.6,740585.0,136319.0,0.0,2025-05-18,No,2023-10-06,13279.12,Low,Others,Small,No,1.8,Middle Aged,1
C0148,West,42,Savings,661.9,816760.0,290762.0,0.0,2025-03-20,No,2020-02-10,28668.88,Low,Others,Medium,No,5.5,Middle Aged,1
C0149,West,38,Savings,640.1,424136.0,195180.0,0.0,2025-07-07,No,2020-12-01,13272.73,Low,Others,Small,No,4.7,Middle Aged,1
C0150,South,40,Loan,714.7,487835.0,-11061.0,0.0,2025-04-04,No,2021-09-15,13038.21,Low,Others,Small,No,3.9,Middle Aged,1
C0151,North,35,Credit,732.2,836378.0,388503.0,0.0,2025-05-25,Yes,2019-12-24,21920.18,Low,Others,Medium,No,5.6,Middle Aged,1
C0152,West,43,Savings,726.6,784337.0,280421.0,10000.0,,No,2019-03-10,25720.06,Medium,Others,Medium,Yes,6.4,Middle Aged,2
C0153,South,51,Loan,738.5,976432.0,298653.0,0.0,2025-05-30,No,2016-01-08,17037.41,Low,Others,Medium,No,9.6,Senior,1
C0154,North,32,,645.5,798991.0,281369.0,0.0,2025-05-18,No,2019-05-01,23203.3,Low,Others,Medium,No,6.2,Middle Aged,1
C0155,East,42,Loan,682.3,428029.0,305969.0,0.0,2025-04-20,No,2023-07-19,31961.07,Low,Others,Medium,No,2.0,Middle Aged,1
C0156,West,42,Credit,693.3,619724.0,290352.0,0.0,2025-07-15,No,2016-11-09,20383.63,Medium,Others,Medium,No,8.7,Middle Aged,2
C0157,South,46,Savings,689.3,610713.0,264557.0,0.0,2025-02-03,No,2024-06-06,17096.34,Low,Others,Medium,No,1.1,Middle Aged,1
C0158,East,42,Savings,589.5,893003.0,213990.0,10000.0,2025-05-07,No,2020-02-13,21022.42,Medium,Others,Medium,Yes,5.5,Middle Aged,2
C0159,West,34,Credit,698.9,1013105.0,245069.0,0.0,2025-02-16,No,2019-08-22,6392.05,Low,High Income,Medium,No,5.9,Middle Aged,1
C0160,West,36,,618.5,664452.0,298648.0,0.0,2025-04-28,No,2018-08-13,27898.47,Unknown,Others,Medium,No,7.0,Middle Aged,0
C0161,South,42,,651.8,443939.0,315434.0,25000.0,2025-02-06,No,2022-03-24,18220.7,Low,Others,Medium,Yes,3.3,Middle Aged,1
C0162,West,29,,674.3,826654.0,157956.0,0.0,2025-04-17,No,2017-04-21,33281.1,High,Others,Small,No,8.3,Young,3
C0163,South,40,,692.2,651753.0,276404.0,0.0,2025-02-13,Yes,2020-05-25,20593.65,Unknown,Others,Medium,No,5.2,Middle Aged,0
C0164,East,38,Savings,727.5,631405.0,287913.0,0.0,2025-06-21,No,2022-12-01,19768.6,Medium,Others,Medium,No,2.7,Middle Aged,2
C0165,West,43,Savings,702.8,813953.0,283578.0,0.0,2025-03-12,No,2021-02-03,12445.05,Medium,Others,Medium,No,4.5,Middle Aged,2
C0166,South,43,Savings,742.5,798281.0,172696.0,0.0,2025-02-24,No,2017-10-20,19601.87,Low,Others,Small,No,7.8,Middle Aged,1
C0167,West,33,Savings,770.0,691968.0,142692.0,0.0,2025-02-14,No,2018-12-15,7268.76,High,Others,Small,No,6.6,Middle Aged,3
C0168,West,46,Loan,648.3,899150.0,229233.0,0.0,2025-07-11,No,2017-09-10,19796.89,Low,Others,Medium,No,7.9,Middle Aged,1
C0169,North,35,Savings,558.8,383219.0,307031.0,0.0,2025-05-09,No,2021-10-08,22977.05,Low,Others,Medium,No,3.8,Middle Aged,1
C0170,South,45,Savings,678.8,585799.0,230251.0,,2025-05-11,Yes,2016-06-25,16773.68,Medium,Others,Medium,No,9.1,Middle Aged,2
C0171,North,40,,622.1,1000680.0,315802.0,0.0,2025-03-26,No,2020-10-04,12989.45,Low,High Income,Medium,No,4.8,Middle Aged,1
C0172,East,40,Savings,666.5,682772.0,236574.0,0.0,2025-07-18,No,2016-01-01,14144.98,Low,Others,Medium,No,9.6,Middle Aged,1
C0173,West,58,Credit,712.0,585764.0,292944.0,0.0,2025-06-26,Yes,2018-07-18,22204.08,High,Others,Medium,No,7.0,Senior,3
C0174,South,32,,770.6,771585.0,279495.0,10000.0,2025-05-18,Yes,2023-10-19,25451.56,Low,Others,Medium,Yes,1.8,Middle Aged,1
C0175,East,50,,653.2,963479.0,264820.0,0.0,2025-05-24,Yes,2015-09-27,23210.75,High,Others,Medium,No,9.8,Middle Aged,3
C0176,East,62,Credit,661.5,740910.0,172632.0,0.0,2025-04-16,No,2018-07-31,15765.61,Unknown,Others,Small,No,7.0,Senior,0
C0177,East,40,,787.1,1045509.0,282724.0,0.0,2025-04-09,No,2017-11-01,10977.38,Low,High Income,Medium,No,7.7,Middle Aged,1
C0178,West,46,,654.9,742319.0,331828.0,0.0,2025-04-02,No,2021-02-22,19114.13,Low,Others,Medium,No,4.4,Middle Aged,1
C0179,East,35,Loan,758.7,454847.0,140172.0,,,No,2021-03-24,7505.55,Low,Others,Small,No,4.3,Middle Aged,1
C0180,North,60,Savings,674.7,1056166.0,127529.0,0.0,2025-03-21,No,2018-10-07,15417.85,High,High Income,Small,No,6.8,Senior,3
C0181,East,55,Credit,749.0,574887.0,279685.0,0.0,2025-07-06,No,2019-01-16,22590.4,Medium,Others,Medium,No,6.5,Senior,2
C0182,East,37,Credit,597.5,689915.0,238245.0,0.0,2025-03-06,No,2019-06-08,28499.21,Medium,Others,Medium,No,6.1,Middle Aged,2
C0183,East,51,,593.0,627512.0,166025.0,25000.0,,No,2015-09-04,26458.34,Low,Others,Small,Yes,9.9,Senior,1
